acousticness_very_high|loudness_very_low|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low|instrumentalness_high (conf=0.67, lift=13.44)
energy_very_low|loudness_very_low|speechiness_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low|instrumentalness_high (conf=0.62, lift=13.34)
acousticness_very_high|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low|instrumentalness_high|loudness_very_low (conf=0.62, lift=12.85)
loudness_very_low|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low|instrumentalness_high (conf=0.63, lift=12.67)
acousticness_very_high|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low|instrumentalness_high (conf=0.62, lift=12.46)
energy_very_low|instrumentalness_high|speechiness_low|tempo_very_low  →  acousticness_very_high|danceability_very_low|loudness_very_low|valence_very_low (conf=0.64, lift=12.38)
acousticness_very_high|instrumentalness_high|speechiness_low|tempo_very_low  →  danceability_very_low|energy_very_low|loudness_very_low|valence_very_low (conf=0.69, lift=11.89)
danceability_very_low|energy_very_low|instrumentalness_high|speechiness_low|tempo_very_low  →  acousticness_very_high|loudness_very_low|valence_very_low (conf=0.81, lift=11.26)
energy_very_low|instrumentalness_high|loudness_very_low|speechiness_low|tempo_very_low  →  acousticness_very_high|danceability_very_low|valence_very_low (conf=0.67, lift=11.24)
acousticness_very_high|energy_very_low|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|instrumentalness_high|loudness_very_low (conf=0.64, lift=11.18)
energy_very_low|instrumentalness_high|speechiness_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low|loudness_very_low (conf=0.81, lift=11.12)
instrumentalness_high|loudness_very_low|speechiness_low|tempo_very_low  →  acousticness_very_high|danceability_very_low|energy_very_low|valence_very_low (conf=0.61, lift=11.10)
acousticness_very_high|energy_very_low|instrumentalness_high|speechiness_low|tempo_very_low  →  danceability_very_low|loudness_very_low|valence_very_low (conf=0.73, lift=10.95)
acousticness_very_high|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|instrumentalness_high|loudness_very_low (conf=0.63, lift=10.92)
acousticness_very_high|instrumentalness_high|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low|loudness_very_low (conf=0.87, lift=10.87)
acousticness_very_high|danceability_very_low|loudness_very_low|speechiness_low|tempo_very_low  →  energy_very_low|instrumentalness_high|valence_very_low (conf=0.62, lift=10.85)
energy_very_low|instrumentalness_high|speechiness_low|tempo_very_low  →  acousticness_very_high|danceability_very_low|valence_very_low (conf=0.64, lift=10.84)
energy_very_low|speechiness_low|tempo_very_low|valence_very_low  →  danceability_very_low|instrumentalness_high|loudness_very_low (conf=0.62, lift=10.77)
acousticness_very_high|duration_ms_very_high|instrumentalness_high  →  danceability_very_low|energy_very_low|loudness_very_low|valence_very_low (conf=0.62, lift=10.74)
energy_very_low|mode_1|speechiness_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low|loudness_very_low (conf=0.77, lift=10.69)
acousticness_very_high|instrumentalness_high|loudness_very_low|speechiness_low|tempo_very_low  →  danceability_very_low|energy_very_low|valence_very_low (conf=0.72, lift=10.69)
acousticness_very_high|duration_ms_very_high|energy_very_low|instrumentalness_high  →  danceability_very_low|loudness_very_low|valence_very_low (conf=0.71, lift=10.66)
