antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'key_very_low'}),frozenset({'mode_1'}),0.31480971262233615,0.6337522011523856,0.23384324201296133,0.7428082191780822,1.1720799041445444,1.0,0.03433189369440584,1.4240260620972487,0.21427018148306906,0.32718222043443285,0.2977656613059175,0.5558951784861208,key_very_low,mode_1
frozenset({'speechiness_very_low'}),frozenset({'mode_1'}),0.2504342409468249,0.6337522011523856,0.17972184621282,0.7176408686501484,1.1323682463669926,1.0,0.021008594768842814,1.297099183924823,0.15595036427167153,0.2551183512447287,0.229048932885646,0.5006123254506767,speechiness_very_low,mode_1
frozenset({'energy_very_low'}),frozenset({'loudness_very_low'}),0.25050611531043737,0.25000299476515053,0.17769738497107057,0.7093534812547819,2.837379935872925,1.0,0.1150701059364771,2.580443792937014,0.8639992839365561,0.5504675671663946,0.6124697609236363,0.7100672533250431,energy_very_low,loudness_very_low
frozenset({'loudness_very_low'}),frozenset({'energy_very_low'}),0.25000299476515053,0.25050611531043737,0.17769738497107057,0.7107810253953042,2.8373799358729244,1.0,0.1150701059364771,2.5914409167447263,0.8634196872343993,0.5504675671663946,0.614114296977234,0.7100672533250431,loudness_very_low,energy_very_low
frozenset({'energy_very_low'}),frozenset({'acousticness_very_high'}),0.25050611531043737,0.24975143449250709,0.17666718575929274,0.7052410099464421,2.8237716086775886,1.0,0.11410292411136562,2.5452949386587744,0.8617331290560885,0.5459593529041572,0.6071182224064992,0.7063065330800846,energy_very_low,acousticness_very_high
frozenset({'acousticness_very_high'}),frozenset({'energy_very_low'}),0.24975143449250709,0.25050611531043737,0.17666718575929274,0.7073720562137272,2.8237716086775886,1.0,0.11410292411136562,2.5612519262240108,0.8608663050559204,0.5459593529041572,0.6095659354078945,0.7063065330800846,acousticness_very_high,energy_very_low
frozenset({'acousticness_very_high'}),frozenset({'mode_1'}),0.24975143449250709,0.6337522011523856,0.17489428479018676,0.7002733944074057,1.1049640429399077,1.0,0.01661376343959456,1.2219395676386482,0.12661560392739288,0.2468134023058458,0.18162892299783534,0.4881198745971439,acousticness_very_high,mode_1
"frozenset({'energy_very_low', 'loudness_very_low'})",frozenset({'acousticness_very_high'}),0.17769738497107057,0.24975143449250709,0.13460870398543345,0.7575165161116354,3.033081742456867,1.0,0.09022852718334132,3.094019244019502,0.815152855261116,0.45966620305980527,0.6767958047019514,0.6482436050748595,energy_very_low|loudness_very_low,acousticness_very_high
"frozenset({'energy_very_low', 'acousticness_very_high'})",frozenset({'loudness_very_low'}),0.17666718575929274,0.25000299476515053,0.13460870398543345,0.7619338215351235,3.0476987775721405,1.0,0.09044137846887912,3.150371926289821,0.8160534505131197,0.46089167794594144,0.6825771612376906,0.6501810938054151,acousticness_very_high|energy_very_low,loudness_very_low
"frozenset({'loudness_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.15069658237401024,0.25050611531043737,0.13460870398543345,0.8932432432432431,3.565754241713021,1.0,0.09685828854436082,7.020575628737667,0.8472289286506925,0.5049202426421028,0.857561537275284,0.7152951105275129,acousticness_very_high|loudness_very_low,energy_very_low
"frozenset({'energy_very_low', 'mode_1'})",frozenset({'acousticness_very_high'}),0.17381616933600066,0.24975143449250709,0.12518118329160627,0.7201929703652653,2.883638974201256,1.0,0.08177034566194757,2.681307065397468,0.7906423806937463,0.41952707856598015,0.6270475646355099,0.610708025304461,energy_very_low|mode_1,acousticness_very_high
"frozenset({'energy_very_low', 'acousticness_very_high'})",frozenset({'mode_1'}),0.17666718575929274,0.6337522011523856,0.12518118329160627,0.7085706536479522,1.1180563197406181,1.0,0.013217965445257093,1.2567293013970722,0.1282478623583419,0.18268272643043196,0.2042836918910645,0.4530472585884596,acousticness_very_high|energy_very_low,mode_1
"frozenset({'mode_1', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.17489428479018676,0.25050611531043737,0.12518118329160627,0.7157534246575342,2.857229348555198,1.0,0.08136909541881927,2.6367736666187023,0.7877906829332709,0.41696592450722203,0.6207486396500759,0.6077332540273134,acousticness_very_high|mode_1,energy_very_low
"frozenset({'loudness_very_low', 'mode_1'})",frozenset({'energy_very_low'}),0.16527509912672647,0.25050611531043737,0.1215515279291798,0.7354497354497355,2.935855416297268,1.0,0.08014910488939608,2.8330868841265473,0.7899414173204933,0.41311782428141025,0.6470281213036978,0.6103367652000016,loudness_very_low|mode_1,energy_very_low
"frozenset({'instrumentalness_low', 'key_very_low'})",frozenset({'mode_1'}),0.1595011919165299,0.6337522011523856,0.1202937265659627,0.7541870071348105,1.1900345367849323,1.0,0.019209495102432778,1.4899448339920525,0.18999224266007067,0.17875324860265585,0.3288342110488272,0.47199946708692136,instrumentalness_low|key_very_low,mode_1
"frozenset({'speechiness_very_low', 'instrumentalness_low'})",frozenset({'mode_1'}),0.13502797110650583,0.6337522011523856,0.10486469651049965,0.7766146202980838,1.2254231525916972,1.0,0.01929042260461085,1.6395334347141821,0.21267202881123518,0.15794886599426233,0.390070382935296,0.4710405111697394,instrumentalness_low|speechiness_very_low,mode_1
"frozenset({'energy_very_low', 'loudness_very_low', 'mode_1'})",frozenset({'acousticness_very_high'}),0.1215515279291798,0.24975143449250709,0.09417937445345537,0.7748102887552972,3.10232567964907,1.0,0.06382170598838667,3.3316289690173013,0.7714296298183428,0.33984611394484315,0.6998465287402755,0.5759513576252864,energy_very_low|loudness_very_low|mode_1,acousticness_very_high
"frozenset({'energy_very_low', 'mode_1', 'acousticness_very_high'})",frozenset({'loudness_very_low'}),0.12518118329160627,0.25000299476515053,0.09417937445345537,0.7523444976076555,3.0093419413411344,1.0,0.06288370374230857,3.0283882166554013,0.7632454002349385,0.33515218688720266,0.669791344947044,0.5645287413768991,acousticness_very_high|energy_very_low|mode_1,loudness_very_low
"frozenset({'loudness_very_low', 'mode_1', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.10444542938942727,0.25050611531043737,0.09417937445345537,0.9017089115724282,3.5995484998639404,1.0,0.06801515567517935,7.625247585307242,0.8064135939662223,0.36115577196931414,0.868856717265567,0.638832650124393,acousticness_very_high|loudness_very_low|mode_1,energy_very_low
"frozenset({'acousticness_very_low', 'loudness_very_high'})",frozenset({'energy_very_high'}),0.10923705363025432,0.2486014446747086,0.08868098563710634,0.8118214716525934,3.265554119023122,1.0,0.0615244962926165,3.9930089895170924,0.7788528479178839,0.3294761671636477,0.7495622968479873,0.5842704910424101,acousticness_very_low|loudness_very_high,energy_very_high
"frozenset({'instrumentalness_low', 'acousticness_very_high'})",frozenset({'mode_1'}),0.11550210232513566,0.6337522011523856,0.08600965512284527,0.7446587844845468,1.1749999181549093,1.0,0.012809943536562465,1.434346578590048,0.16838492360817514,0.1296801343760724,0.3028184297110448,0.44018687263165057,acousticness_very_high|instrumentalness_low,mode_1
"frozenset({'key_high', 'instrumentalness_low'})",frozenset({'mode_1'}),0.12179110914122114,0.6337522011523856,0.08597371794103906,0.7059112815973246,1.113860086503413,1.0,0.008788334441999723,1.2453650069845132,0.11639733527253472,0.12840146703640754,0.19702256415461059,0.4207847684803559,instrumentalness_low|key_high,mode_1
"frozenset({'energy_very_low', 'valence_very_low'})",frozenset({'loudness_very_low'}),0.10502042429832653,0.25000299476515053,0.08420081697193306,0.8017565872020075,3.206987932105241,1.0,0.057945396385844644,3.7832127415960435,0.7689347857379012,0.31090764331210186,0.7356743941451929,0.5692779102756563,energy_very_low|valence_very_low,loudness_very_low
"frozenset({'loudness_very_low', 'valence_very_low'})",frozenset({'energy_very_low'}),0.10355897890487428,0.25050611531043737,0.08420081697193306,0.8130711393869289,3.245713735887597,1.0,0.05825865946095747,4.009514005656727,0.7718314311557121,0.31201171875,0.7505932143922743,0.5745969698464866,loudness_very_low|valence_very_low,energy_very_low
"frozenset({'energy_very_low', 'instrumentalness_high'})",frozenset({'loudness_very_low'}),0.0909450280908971,0.25000299476515053,0.08243989506342912,0.9064805057955743,3.6258785885629488,1.0,0.059703365681704104,8.019686286961937,0.796656745408646,0.31890639481000926,0.8753068431584715,0.618118067943307,energy_very_low|instrumentalness_high,loudness_very_low
"frozenset({'loudness_very_low', 'instrumentalness_high'})",frozenset({'energy_very_low'}),0.1159692856886163,0.25050611531043737,0.08243989506342912,0.7108769755190579,2.837762960948519,1.0,0.05338887981024755,2.5923009280741893,0.732564761892858,0.29024503395048706,0.6142423168660066,0.5199851595269352,instrumentalness_high|loudness_very_low,energy_very_low
"frozenset({'energy_very_low', 'danceability_very_low'})",frozenset({'acousticness_very_high'}),0.09933037051234442,0.24975143449250709,0.08061907785191486,0.811625663289918,3.2497337400248965,1.0,0.05581117532778461,3.9827535884687144,0.7686308714452253,0.30029896033197984,0.7489174316745821,0.5672114598765289,danceability_very_low|energy_very_low,acousticness_very_high
"frozenset({'acousticness_very_high', 'danceability_very_low'})",frozenset({'energy_very_low'}),0.09410750008984295,0.25050611531043737,0.08061907785191486,0.8566700610997964,3.4197570787370837,1.0,0.05704457358283166,5.229150939716879,0.7810877878827991,0.3053816135765496,0.8087643650894226,0.5892474253471438,acousticness_very_high|danceability_very_low,energy_very_low
"frozenset({'energy_very_low', 'danceability_very_low'})",frozenset({'loudness_very_low'}),0.09933037051234442,0.25000299476515053,0.07985241797338252,0.8039073806078147,3.2155910026717662,1.0,0.05501952787416442,3.8247079750352837,0.7650032310079266,0.2963193456614509,0.738542130137197,0.5616566131596812,danceability_very_low|energy_very_low,loudness_very_low
"frozenset({'loudness_very_low', 'danceability_very_low'})",frozenset({'energy_very_low'}),0.09570071514991794,0.25050611531043737,0.07985241797338252,0.8343972962823882,3.33084601646698,1.0,0.055878803588745855,4.525855362649217,0.7738322765910185,0.2997976163705869,0.7790472916450762,0.5765808210562668,danceability_very_low|loudness_very_low,energy_very_low
"frozenset({'energy_very_low', 'instrumentalness_low'})",frozenset({'mode_1'}),0.10372668575330322,0.6337522011523856,0.07869044909498198,0.7586326365631135,1.197049312307951,1.0,0.012953433680584256,1.5173874115892312,0.18366331389987622,0.11944722247477045,0.34097252134663947,0.44139929720604404,energy_very_low|instrumentalness_low,mode_1
"frozenset({'energy_very_low', 'valence_very_low'})",frozenset({'acousticness_very_high'}),0.10502042429832653,0.24975143449250709,0.07800764264066412,0.7427854454203262,2.9740988152066485,1.0,0.05177864102114532,2.9168200327291305,0.7416523368654553,0.2818559556786704,0.6571608845320679,0.5275632824492393,energy_very_low|valence_very_low,acousticness_very_high
"frozenset({'valence_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.08774661891014507,0.25050611531043737,0.07800764264066412,0.8890102389078498,3.54885643332959,1.0,0.056026578005858314,6.752820055782344,0.7873021942670285,0.299746835443038,0.8519137202325251,0.600205195965019,acousticness_very_high|valence_very_low,energy_very_low
"frozenset({'instrumentalness_low', 'energy_very_high'})",frozenset({'loudness_very_high'}),0.10224128223864684,0.2499430994621402,0.07527641682339271,0.7362624487404804,2.9457202472277286,1.0,0.04972191384768186,2.8439518641006813,0.7357482999570297,0.27184634019726595,0.648376608400782,0.5187183319666936,energy_very_high|instrumentalness_low,loudness_very_high
"frozenset({'energy_very_low', 'liveness_low'})",frozenset({'acousticness_very_high'}),0.09773715545226944,0.24975143449250709,0.07267696067274404,0.7435960289251133,2.9773443761638227,1.0,0.04826696589532259,2.9260411309634957,0.7360717824267359,0.26446100867442573,0.6582413044649456,0.5172965995265886,energy_very_low|liveness_low,acousticness_very_high
"frozenset({'acousticness_very_high', 'liveness_low'})",frozenset({'energy_very_low'}),0.08808203260700295,0.25050611531043737,0.07267696067274404,0.8251053991568068,3.293753520285533,1.0,0.05061187285571646,4.285403214714118,0.7636597109540805,0.27331291107306965,0.7666497293495144,0.5576129520650139,acousticness_very_high|liveness_low,energy_very_low
"frozenset({'loudness_very_low', 'danceability_very_low'})",frozenset({'acousticness_very_high'}),0.09570071514991794,0.24975143449250709,0.07249727476371302,0.7575416197271247,3.0331822568564752,1.0,0.04859588387306221,3.094339592069881,0.7412515539585087,0.26560168524532607,0.6768292650998028,0.5239096654441657,danceability_very_low|loudness_very_low,acousticness_very_high
"frozenset({'acousticness_very_high', 'danceability_very_low'})",frozenset({'loudness_very_low'}),0.09410750008984295,0.25000299476515053,0.07249727476371302,0.7703665987780041,3.0814294824815045,1.0,0.04897011791139061,3.266062346521606,0.7456461920687566,0.2669136455852518,0.6938209091247105,0.5301761120387385,acousticness_very_high|danceability_very_low,loudness_very_low
"frozenset({'energy_very_low', 'speechiness_very_low'})",frozenset({'mode_1'}),0.09536530145306005,0.6337522011523856,0.07214988200625307,0.756563245823389,1.193784012817138,1.0,0.011711912296815459,1.5044885070308862,0.17943986947603854,0.10982258446839158,0.3353222737649862,0.4352044090377695,energy_very_low|speechiness_very_low,mode_1
"frozenset({'valence_very_low', 'acousticness_very_high'})",frozenset({'loudness_very_low'}),0.08774661891014507,0.25000299476515053,0.07164676146096623,0.816518771331058,3.266035961281523,1.0,0.04970984395291357,4.087595285227136,0.7605545235411781,0.2692446205095885,0.75535738491184,0.5515511920862286,acousticness_very_high|valence_very_low,loudness_very_low
"frozenset({'acousticness_very_high', 'instrumentalness_high'})",frozenset({'loudness_very_low'}),0.08042741288228177,0.25000299476515053,0.07150301273374142,0.8890378313970808,3.556108726746378,1.0,0.05139591865195773,6.759033413619843,0.7816606975550537,0.2761508211889891,0.8520498510948411,0.5875232281086985,acousticness_very_high|instrumentalness_high,loudness_very_low
"frozenset({'energy_very_low', 'liveness_low'})",frozenset({'loudness_very_low'}),0.09773715545226944,0.25000299476515053,0.07145509649133315,0.7310944968746169,2.924342956616969,1.0,0.04702051492843873,2.7890727282183843,0.729324994580263,0.2586281651057925,0.6414578975002978,0.5084557295106195,energy_very_low|liveness_low,loudness_very_low
"frozenset({'loudness_very_low', 'liveness_low'})",frozenset({'energy_very_low'}),0.08842942536446292,0.25050611531043737,0.07145509649133315,0.8080465998374424,3.225656183427212,1.0,0.04930298466414729,3.904561649102577,0.7569195164406183,0.2671413856419902,0.7438893043909706,0.5466447612806187,liveness_low|loudness_very_low,energy_very_low
"frozenset({'energy_very_low', 'tempo_very_low'})",frozenset({'loudness_very_low'}),0.09522155272583524,0.25000299476515053,0.07105978749146492,0.7462573908667758,2.9849938060454035,1.0,0.04725411414381843,2.9557393131441847,0.7349765366773384,0.25918643771573385,0.6616751702178213,0.5152465679777098,energy_very_low|tempo_very_low,loudness_very_low
"frozenset({'loudness_very_low', 'tempo_very_low'})",frozenset({'energy_very_low'}),0.08793828387977815,0.25050611531043737,0.07105978749146492,0.8080642964173819,3.2257268267323362,1.0,0.049030709609675246,3.9049216518850822,0.7565193623028292,0.2657587025670893,0.7439129157643266,0.545864588912593,loudness_very_low|tempo_very_low,energy_very_low
"frozenset({'energy_very_low', 'tempo_very_low'})",frozenset({'acousticness_very_high'}),0.09522155272583524,0.24975143449250709,0.07104780843086285,0.7461315888791042,2.9874967100598946,1.0,0.0472660890429816,2.9552655338052825,0.7352867433091211,0.25936939694756633,0.6616209309921562,0.5153028321871659,energy_very_low|tempo_very_low,acousticness_very_high
"frozenset({'acousticness_very_high', 'tempo_very_low'})",frozenset({'energy_very_low'}),0.0950897830592125,0.25050611531043737,0.07104780843086285,0.7471655328798186,2.9826239249844284,1.0,0.047227236270987294,2.964365947516566,0.7345753551634292,0.25878092412408915,0.6626597330745341,0.5153912974269024,acousticness_very_high|tempo_very_low,energy_very_low
"frozenset({'energy_very_low', 'instrumentalness_high'})",frozenset({'acousticness_very_high'}),0.0909450280908971,0.24975143449250709,0.07012542076450365,0.7710748155953636,3.0873689160672146,1.0,0.04741176953884074,3.2772653103181173,0.7437389702414289,0.25917563200070837,0.694867547997531,0.5259278341970295,energy_very_low|instrumentalness_high,acousticness_very_high
