antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,simple_rule
"frozenset({'danceability_very_low', 'instrumentalness_high', 'energy_very_low'})","frozenset({'valence_very_low', 'loudness_very_low', 'acousticness_very_high'})",0.0498808083470094,0.0716467614609662,0.0340684483522802,0.6829971181556196,9.53284006462347,1.0,0.0304946499751618,2.928532488845861,0.9420917662336076,0.3895356800438295,0.6585320450400393,0.5792514432108979,danceability_very_low|energy_very_low|instrumentalness_high,acousticness_very_high|loudness_very_low|valence_very_low,"danceability_very_low|energy_very_low|instrumentalness_high → acousticness_very_high|loudness_very_low|valence_very_low (supp=0.034, conf=0.68, lift=9.53, lev=0.0305)"
"frozenset({'danceability_very_low', 'instrumentalness_high', 'mode_1', 'energy_very_low'})","frozenset({'valence_very_low', 'loudness_very_low', 'acousticness_very_high'})",0.0327507516860527,0.0716467614609662,0.0221732411744271,0.6770299926847111,9.449554716490052,1.0,0.0198267558807091,2.874425542656533,0.9244513854786726,0.2696678321678321,0.6521043995887248,0.4932550063741228,danceability_very_low|energy_very_low|instrumentalness_high|mode_1,acousticness_very_high|loudness_very_low|valence_very_low,"danceability_very_low|energy_very_low|instrumentalness_high|mode_1 → acousticness_very_high|loudness_very_low|valence_very_low (supp=0.022, conf=0.68, lift=9.45, lev=0.0198)"
"frozenset({'valence_very_low', 'speechiness_low', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'loudness_very_low', 'energy_very_low'})",0.0361408258364379,0.0798524179733825,0.0267133051426107,0.7391448458733842,9.256386526952332,1.0,0.0238273728120162,3.527427261720846,0.9254116223205608,0.2992083724674628,0.7165072655496367,0.5368391496093594,acousticness_very_high|speechiness_low|valence_very_low,danceability_very_low|energy_very_low|loudness_very_low,"acousticness_very_high|speechiness_low|valence_very_low → danceability_very_low|energy_very_low|loudness_very_low (supp=0.027, conf=0.74, lift=9.26, lev=0.0238)"
"frozenset({'valence_very_low', 'speechiness_low', 'energy_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high', 'danceability_very_low'})",0.0409683872590711,0.072497274763713,0.0267133051426107,0.6520467836257311,8.99408682258632,1.0,0.0237432087148636,2.6655960674858004,0.9267847137623896,0.3079259872963271,0.6248493865226912,0.5102600078075781,energy_very_low|speechiness_low|valence_very_low,acousticness_very_high|danceability_very_low|loudness_very_low,"energy_very_low|speechiness_low|valence_very_low → acousticness_very_high|danceability_very_low|loudness_very_low (supp=0.027, conf=0.65, lift=8.99, lev=0.0237)"
"frozenset({'valence_very_low', 'instrumentalness_high', 'mode_1', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'loudness_very_low', 'energy_very_low'})",0.0312773272319984,0.0798524179733825,0.0221732411744271,0.708923783990808,8.877925077073007,1.0,0.0196756709672073,3.161191232462497,0.9160114580144172,0.2492593590088876,0.6836635538745872,0.4933007758837928,acousticness_very_high|instrumentalness_high|mode_1|valence_very_low,danceability_very_low|energy_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high|mode_1|valence_very_low → danceability_very_low|energy_very_low|loudness_very_low (supp=0.022, conf=0.71, lift=8.88, lev=0.0197)"
"frozenset({'danceability_very_low', 'speechiness_low', 'energy_very_low'})","frozenset({'valence_very_low', 'loudness_very_low', 'acousticness_very_high'})",0.0425256651373399,0.0716467614609662,0.0267133051426107,0.6281690140845071,8.767584204440825,1.0,0.0236664789565467,2.4967075733436137,0.9252921609183756,0.3054376112861253,0.5994725170554152,0.5005081820129942,danceability_very_low|energy_very_low|speechiness_low,acousticness_very_high|loudness_very_low|valence_very_low,"danceability_very_low|energy_very_low|speechiness_low → acousticness_very_high|loudness_very_low|valence_very_low (supp=0.027, conf=0.63, lift=8.77, lev=0.0237)"
"frozenset({'instrumentalness_high', 'acousticness_very_high', 'danceability_very_low'})","frozenset({'valence_very_low', 'loudness_very_low', 'energy_very_low'})",0.0464667760754201,0.084200816971933,0.0340684483522802,0.7331786542923434,8.70750048110265,1.0,0.0301559078446779,3.43225606856606,0.9282911789962472,0.3526785714285714,0.7086464471114524,0.5688940646621768,acousticness_very_high|danceability_very_low|instrumentalness_high,energy_very_low|loudness_very_low|valence_very_low,"acousticness_very_high|danceability_very_low|instrumentalness_high → energy_very_low|loudness_very_low|valence_very_low (supp=0.034, conf=0.73, lift=8.71, lev=0.0302)"
"frozenset({'valence_very_low', 'instrumentalness_high', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'loudness_very_low', 'energy_very_low'})",0.0492459181350998,0.0798524179733825,0.0340684483522802,0.6918024811481391,8.663513249889816,1.0,0.0301360427138732,2.985577513584392,0.9303913628636694,0.3585024580864742,0.6650564269559255,0.5592225727072829,acousticness_very_high|instrumentalness_high|valence_very_low,danceability_very_low|energy_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high|valence_very_low → danceability_very_low|energy_very_low|loudness_very_low (supp=0.034, conf=0.69, lift=8.66, lev=0.0301)"
"frozenset({'valence_very_low', 'speechiness_low', 'acousticness_very_high', 'instrumentalness_high'})","frozenset({'loudness_very_low', 'danceability_very_low'})",0.0242336395979827,0.0957007151499179,0.0200529474478611,0.8274839347503707,8.646580471776968,1.0,0.0177337708076488,5.241826513615232,0.9063105467938712,0.2007675701607099,0.8092268034047715,0.5185110248291847,acousticness_very_high|instrumentalness_high|speechiness_low|valence_very_low,danceability_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high|speechiness_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.020, conf=0.83, lift=8.65, lev=0.0177)"
"frozenset({'instrumentalness_high', 'mode_1', 'acousticness_very_high', 'danceability_very_low'})","frozenset({'valence_very_low', 'loudness_very_low', 'energy_very_low'})",0.0306544160806909,0.084200816971933,0.0221732411744271,0.7233294255568582,8.590527403053203,1.0,0.0195921142966353,3.3100707759446664,0.9115352938772991,0.2392400155098875,0.6978916561943881,0.4933335134613142,acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1,energy_very_low|loudness_very_low|valence_very_low,"acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1 → energy_very_low|loudness_very_low|valence_very_low (supp=0.022, conf=0.72, lift=8.59, lev=0.0196)"
"frozenset({'valence_very_low', 'instrumentalness_high', 'mode_1', 'energy_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high', 'danceability_very_low'})",0.0356976005941614,0.072497274763713,0.0221732411744271,0.6211409395973154,8.567783294224107,1.0,0.0195852624157468,2.448147140127666,0.9159820575937708,0.2577635426820777,0.5915278197094591,0.4634951228059281,energy_very_low|instrumentalness_high|mode_1|valence_very_low,acousticness_very_high|danceability_very_low|loudness_very_low,"energy_very_low|instrumentalness_high|mode_1|valence_very_low → acousticness_very_high|danceability_very_low|loudness_very_low (supp=0.022, conf=0.62, lift=8.57, lev=0.0196)"
"frozenset({'instrumentalness_high', 'speechiness_low', 'energy_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high', 'danceability_very_low'})",0.0383210148660142,0.072497274763713,0.0235508331436648,0.6145670522038138,8.477105576821245,1.0,0.0207726639996991,2.406391904323506,0.9171825746205676,0.2698695950583391,0.5844400913237265,0.4697091705169763,energy_very_low|instrumentalness_high|speechiness_low,acousticness_very_high|danceability_very_low|loudness_very_low,"energy_very_low|instrumentalness_high|speechiness_low → acousticness_very_high|danceability_very_low|loudness_very_low (supp=0.024, conf=0.61, lift=8.48, lev=0.0208)"
"frozenset({'valence_very_low', 'instrumentalness_high', 'tempo_very_low', 'acousticness_very_high'})","frozenset({'loudness_very_low', 'danceability_very_low'})",0.0254195665975874,0.0957007151499179,0.0205440889325459,0.8081998114985862,8.445075987494114,1.0,0.0181114182303558,4.714798728382982,0.904581882586309,0.2042639352072415,0.7879018686460522,0.5114349914921896,acousticness_very_high|instrumentalness_high|tempo_very_low|valence_very_low,danceability_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.021, conf=0.81, lift=8.45, lev=0.0181)"
"frozenset({'valence_very_low', 'speechiness_low', 'energy_very_low', 'instrumentalness_high'})","frozenset({'loudness_very_low', 'danceability_very_low'})",0.0272643419303058,0.0957007151499179,0.0219695971441919,0.8057996485061512,8.419996101845662,1.0,0.0193603801233697,4.656527539182775,0.9059348160004672,0.2175305420472067,0.7852476997965955,0.5176826506393567,energy_very_low|instrumentalness_high|speechiness_low|valence_very_low,danceability_very_low|loudness_very_low,"energy_very_low|instrumentalness_high|speechiness_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.022, conf=0.81, lift=8.42, lev=0.0194)"
"frozenset({'instrumentalness_high', 'speechiness_low', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'loudness_very_low', 'energy_very_low'})",0.0352184381700787,0.0798524179733825,0.0235508331436648,0.6687074829931973,8.374292225140882,1.0,0.020738555698538,2.777447526856525,0.9127319158178892,0.2573298429319372,0.6399571943914326,0.4818184879712461,acousticness_very_high|instrumentalness_high|speechiness_low,danceability_very_low|energy_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high|speechiness_low → danceability_very_low|energy_very_low|loudness_very_low (supp=0.024, conf=0.67, lift=8.37, lev=0.0207)"
"frozenset({'valence_very_low', 'instrumentalness_high', 'tempo_very_low', 'energy_very_low'})","frozenset({'loudness_very_low', 'danceability_very_low'})",0.0282346458390733,0.0957007151499179,0.0224128223864684,0.7938056851930421,8.294668268147447,1.0,0.0197107465876644,4.385665461711202,0.9049927782624216,0.2207669616519174,0.7719844322987145,0.5140013530483923,energy_very_low|instrumentalness_high|tempo_very_low|valence_very_low,danceability_very_low|loudness_very_low,"energy_very_low|instrumentalness_high|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.022, conf=0.79, lift=8.29, lev=0.0197)"
"frozenset({'valence_very_low', 'tempo_very_low', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'loudness_very_low', 'energy_very_low'})",0.042010565531451,0.0798524179733825,0.0278153787180009,0.6621043627031651,8.291600674182046,1.0,0.0244607334798853,2.723170945288901,0.9179600457059196,0.2957585021016431,0.6327810408927853,0.5052195980932568,acousticness_very_high|tempo_very_low|valence_very_low,danceability_very_low|energy_very_low|loudness_very_low,"acousticness_very_high|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low|loudness_very_low (supp=0.028, conf=0.66, lift=8.29, lev=0.0245)"
"frozenset({'valence_very_low', 'speechiness_low', 'loudness_very_low', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'energy_very_low'})",0.032798667928461,0.0993303705123444,0.0267133051426107,0.8144631117604092,8.199537639489533,1.0,0.0234554013049653,4.854396546333077,0.9078170952760816,0.2534090909090909,0.7940011718335244,0.5416985119824719,acousticness_very_high|loudness_very_low|speechiness_low|valence_very_low,danceability_very_low|energy_very_low,"acousticness_very_high|loudness_very_low|speechiness_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.027, conf=0.81, lift=8.20, lev=0.0235)"
