support,itemsets,support_count,itemset_str
0.6337522011523856,frozenset({'mode_1'}),52905,mode_1
0.5000539057727093,frozenset({'instrumentalness_low'}),41744,instrumentalness_low
0.3662477988476144,frozenset({'mode_0'}),30574,mode_0
0.3347788066459828,"frozenset({'instrumentalness_low', 'mode_1'})",27947,instrumentalness_low|mode_1
0.31480971262233615,frozenset({'key_very_low'}),26280,key_very_low
0.25168006324944,frozenset({'liveness_low'}),21010,liveness_low
0.2516321470070317,frozenset({'danceability_very_low'}),21006,danceability_very_low
0.2513805867343883,frozenset({'energy_high'}),20985,energy_high
0.2507217384012746,frozenset({'valence_very_low'}),20930,valence_very_low
0.25050611531043737,frozenset({'energy_very_low'}),20912,energy_very_low
0.2504581990680291,frozenset({'acousticness_very_low'}),20908,acousticness_very_low
0.2504342409468249,frozenset({'speechiness_very_low'}),20906,speechiness_very_low
0.2504222618862229,frozenset({'danceability_high'}),20905,danceability_high
0.25039830376501876,frozenset({'liveness_very_low'}),20903,liveness_very_low
0.250266534098396,frozenset({'acousticness_low'}),20892,acousticness_low
0.2501467434923753,frozenset({'instrumentalness_medium'}),20882,instrumentalness_medium
0.2501227853711712,frozenset({'valence_low'}),20880,valence_low
0.2501227853711712,frozenset({'loudness_low'}),20880,loudness_low
0.2500149738257526,frozenset({'tempo_very_low'}),20871,tempo_very_low
0.25000299476515053,frozenset({'duration_ms_very_high'}),20870,duration_ms_very_high
0.25000299476515053,frozenset({'duration_ms_very_low'}),20870,duration_ms_very_low
0.25000299476515053,frozenset({'tempo_high'}),20870,tempo_high
0.25000299476515053,frozenset({'loudness_very_low'}),20870,loudness_very_low
0.25000299476515053,frozenset({'duration_ms_low'}),20870,duration_ms_low
0.24999101570454846,frozenset({'duration_ms_high'}),20869,duration_ms_high
0.24999101570454846,frozenset({'tempo_low'}),20869,tempo_low
0.24999101570454846,frozenset({'tempo_very_high'}),20869,tempo_very_high
0.2499670575833443,frozenset({'speechiness_high'}),20867,speechiness_high
0.2499430994621402,frozenset({'loudness_very_high'}),20865,loudness_very_high
0.24993112040153811,frozenset({'loudness_high'}),20864,loudness_high
0.24991914134093604,frozenset({'speechiness_very_high'}),20863,speechiness_very_high
0.24983528791672158,frozenset({'valence_very_high'}),20856,valence_very_high
0.24979935073491535,frozenset({'instrumentalness_high'}),20853,instrumentalness_high
0.24975143449250709,frozenset({'acousticness_very_high'}),20849,acousticness_very_high
0.2496795601288947,frozenset({'speechiness_low'}),20843,speechiness_low
0.2496795601288947,frozenset({'liveness_very_high'}),20843,liveness_very_high
0.2495238323410678,frozenset({'acousticness_high'}),20830,acousticness_high
0.24951185328046574,frozenset({'energy_low'}),20829,energy_low
