,precision,recall,f1-score,support
acoustic,0.14163090128755365,0.1722338204592902,0.15544041450777202,958.0
afrobeat,0.2277432712215321,0.22289766970618036,0.22529441884280593,987.0
alt-rock,0.11220196353436185,0.09569377990430622,0.10329244673983215,836.0
alternative,0.2916666666666667,0.08536585365853659,0.1320754716981132,246.0
ambient,0.2651072124756335,0.28274428274428276,0.27364185110663986,962.0
anime,0.23887973640856672,0.14735772357723578,0.18227529855436833,984.0
black-metal,0.388929889298893,0.53125,0.4490839369407755,992.0
bluegrass,0.2537216828478964,0.3967611336032389,0.30951440979076195,988.0
blues,0.10028653295128939,0.04861111111111111,0.06548175865294668,720.0
brazil,0.11608623548922056,0.07526881720430108,0.091324200913242,930.0
breakbeat,0.27244258872651356,0.2676923076923077,0.27004655975168135,975.0
british,0.25815217391304346,0.10944700460829493,0.15372168284789645,868.0
cantopop,0.18001168907071888,0.31048387096774194,0.22789493155752868,992.0
chicago-house,0.3331024930747922,0.49031600407747195,0.39670103092783504,981.0
children,0.35678889990089196,0.39473684210526316,0.3748047891723061,912.0
chill,0.17795844625112917,0.21389793702497287,0.1942800788954635,921.0
classical,0.49765990639625585,0.421957671957672,0.4566929133858268,756.0
club,0.2621231979030144,0.20682523267838676,0.23121387283236994,967.0
comedy,0.7380073800738007,0.8080808080808081,0.7714561234329798,990.0
country,0.12903225806451613,0.13468013468013468,0.13179571663920922,594.0
dance,0.16145833333333334,0.17680608365019013,0.16878402903811252,526.0
dancehall,0.14632501685772084,0.25380116959064325,0.18562874251497005,855.0
death-metal,0.2495697074010327,0.3254769921436588,0.282513395031661,891.0
deep-house,0.19609120521172638,0.32365591397849464,0.24421906693711967,930.0
detroit-techno,0.35551330798479086,0.3953488372093023,0.3743743743743744,946.0
disco,0.1544973544973545,0.17319098457888493,0.16331096196868009,843.0
disney,0.34553440702781846,0.2559652928416486,0.2940809968847352,922.0
drum-and-bass,0.5728155339805825,0.632368703108253,0.6011207335710647,933.0
dub,0.18575553416746873,0.21564245810055865,0.19958634953464321,895.0
dubstep,0.10619469026548672,0.04669260700389105,0.06486486486486487,257.0
edm,0.13043478260869565,0.11864406779661017,0.1242603550295858,531.0
electro,0.21008403361344538,0.12106537530266344,0.15360983102918588,413.0
electronic,0.09830508474576272,0.03540903540903541,0.05206463195691203,819.0
emo,0.1342512908777969,0.08783783783783784,0.10619469026548672,888.0
folk,0.14492753623188406,0.07947019867549669,0.10265183917878529,755.0
forro,0.3044315992292871,0.48073022312373226,0.37278804561541484,986.0
french,0.1541038525963149,0.10574712643678161,0.125426039536469,870.0
funk,0.26492537313432835,0.2253968253968254,0.24356775300171526,630.0
garage,0.1611842105263158,0.11060948081264109,0.13119143239625167,886.0
german,0.21,0.06531881804043546,0.099644128113879,643.0
gospel,0.1608300907911803,0.18479880774962743,0.17198335644937587,671.0
goth,0.1053763440860215,0.05511811023622047,0.0723781388478582,889.0
grindcore,0.6101426307448494,0.782520325203252,0.6856634016028496,984.0
groove,0.13592233009708737,0.022913256955810146,0.0392156862745098,611.0
grunge,0.1404786680541103,0.16625615763546797,0.15228426395939088,812.0
guitar,0.3221024258760108,0.2722095671981777,0.29506172839506173,878.0
happy,0.3884083044982699,0.46625129802699894,0.4237848041529023,963.0
hard-rock,0.18695652173913044,0.12797619047619047,0.1519434628975265,672.0
hardcore,0.2079207920792079,0.16844919786096257,0.1861152141802068,748.0
hardstyle,0.4322033898305085,0.5782312925170068,0.49466537342386036,882.0
heavy-metal,0.19477769936485534,0.2787878787878788,0.22933111757374325,990.0
hip-hop,0.13982300884955753,0.11808669656203288,0.1280388978930308,669.0
honky-tonk,0.3686662783925451,0.6465781409601634,0.46958456973293766,979.0
house,0.10714285714285714,0.021897810218978103,0.03636363636363636,137.0
idm,0.2192513368983957,0.1682051282051282,0.19036564132327335,975.0
indian,0.1570048309178744,0.09544787077826726,0.1187214611872146,681.0
indie,0.0,0.0,0.0,105.0
indie-pop,0.28,0.0865979381443299,0.13228346456692913,485.0
industrial,0.14527503526093088,0.12350119904076738,0.1335061568373299,834.0
iranian,0.41350210970464135,0.302158273381295,0.3491686460807601,973.0
j-dance,0.18462897526501768,0.27718832891246686,0.22163308589607636,754.0
j-idol,0.3071852340145023,0.4711830131445905,0.37190742218675177,989.0
j-pop,0.2049469964664311,0.09235668789808917,0.12733260153677278,628.0
j-rock,0.08666666666666667,0.02850877192982456,0.0429042904290429,456.0
jazz,0.3380281690140845,0.10344827586206896,0.15841584158415842,232.0
k-pop,0.2072992700729927,0.16608187134502925,0.18441558441558442,855.0
kids,0.2484361036639857,0.29543039319872477,0.26990291262135924,941.0
latin,0.16009852216748768,0.14573991031390135,0.15258215962441316,446.0
latino,0.1350210970464135,0.08913649025069638,0.10738255033557047,359.0
malay,0.12210200927357033,0.08280922431865828,0.09868831980012492,954.0
mandopop,0.15465587044534412,0.22235157159487776,0.18242597898758356,859.0
