antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,simple_rule
"frozenset({'valence_very_low', 'acousticness_very_high'})","frozenset({'danceability_very_low', 'energy_very_low'})",0.087746618910145,0.0993303705123444,0.0549000347392757,0.6256655290102389,6.298834140888294,1.0,0.0461841305717255,2.4060558118151265,0.922156584062918,0.4153525466739169,0.5843820433884279,0.5891834639744875,acousticness_very_high|valence_very_low,danceability_very_low|energy_very_low,"acousticness_very_high|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.63, lift=6.30)"
"frozenset({'loudness_very_low', 'danceability_very_low'})","frozenset({'energy_very_low', 'valence_very_low'})",0.0957007151499179,0.1050204242983265,0.0577151139807616,0.6030792339466767,5.742494738295269,1.0,0.0476645842700639,2.254806632065806,0.9132592178588472,0.4035851901491036,0.5565029897557906,0.5763200435730874,danceability_very_low|loudness_very_low,energy_very_low|valence_very_low,"danceability_very_low|loudness_very_low  →  energy_very_low|valence_very_low (conf=0.60, lift=5.74)"
"frozenset({'energy_very_low', 'instrumentalness_high'})","frozenset({'loudness_very_low', 'acousticness_very_high'})",0.0909450280908971,0.1506965823740102,0.066112435462811,0.7269494204425712,4.8239277161466925,1.0,0.0524073305456044,3.110425251623982,0.8720045202769791,0.3766464205282195,0.6785005524637218,0.5828308310479946,energy_very_low|instrumentalness_high,acousticness_very_high|loudness_very_low,"energy_very_low|instrumentalness_high  →  acousticness_very_high|loudness_very_low (conf=0.73, lift=4.82)"
"frozenset({'instrumentalness_high', 'acousticness_very_high'})","frozenset({'loudness_very_low', 'energy_very_low'})",0.0804274128822817,0.1776973849710705,0.066112435462811,0.8220137027107537,4.625918962423555,1.0,0.0518206945136409,4.620033269710656,0.8523815816389436,0.3443134319046728,0.7835513422476656,0.5970321985307847,acousticness_very_high|instrumentalness_high,energy_very_low|loudness_very_low,"acousticness_very_high|instrumentalness_high  →  energy_very_low|loudness_very_low (conf=0.82, lift=4.63)"
"frozenset({'danceability_very_low', 'energy_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high'})",0.0993303705123444,0.1506965823740102,0.0679691898561314,0.6842739990352147,4.540739997254427,1.0,0.053000442493977,2.690001504566351,0.8657687052157333,0.3733385971838399,0.6282529960290086,0.5676536926813593,danceability_very_low|energy_very_low,acousticness_very_high|loudness_very_low,"danceability_very_low|energy_very_low  →  acousticness_very_high|loudness_very_low (conf=0.68, lift=4.54)"
"frozenset({'energy_very_low', 'speechiness_low'})","frozenset({'loudness_very_low', 'acousticness_very_high'})",0.0780316007618682,0.1506965823740102,0.0523724529522394,0.6711697881486031,4.453782412150813,1.0,0.0406133574002527,2.58280227003534,0.8411044718048608,0.2969705203097405,0.6128236328418912,0.509352779606893,energy_very_low|speechiness_low,acousticness_very_high|loudness_very_low,"energy_very_low|speechiness_low  →  acousticness_very_high|loudness_very_low (conf=0.67, lift=4.45)"
"frozenset({'valence_very_low', 'acousticness_very_high'})","frozenset({'loudness_very_low', 'energy_very_low'})",0.087746618910145,0.1776973849710705,0.0672624252806095,0.7665529010238907,4.313810814653726,1.0,0.0516700805602236,3.5224366404017,0.8420756988387709,0.3393979690522243,0.7161056103805575,0.5725376073138868,acousticness_very_high|valence_very_low,energy_very_low|loudness_very_low,"acousticness_very_high|valence_very_low  →  energy_very_low|loudness_very_low (conf=0.77, lift=4.31)"
"frozenset({'energy_very_low', 'valence_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high'})",0.1050204242983265,0.1506965823740102,0.0672624252806095,0.640469944108589,4.250062834995302,1.0,0.0514362062593832,2.362259854799192,0.8544433658790868,0.3569158403254513,0.5766765464144897,0.5434066731671721,energy_very_low|valence_very_low,acousticness_very_high|loudness_very_low,"energy_very_low|valence_very_low  →  acousticness_very_high|loudness_very_low (conf=0.64, lift=4.25)"
"frozenset({'danceability_very_low', 'acousticness_very_high'})","frozenset({'loudness_very_low', 'energy_very_low'})",0.0941075000898429,0.1776973849710705,0.0679691898561314,0.7222505091649695,4.064497118415969,1.0,0.0512465331840016,2.9605908999391706,0.8322920250407693,0.3334508697696287,0.6622295907142907,0.5523750860507334,acousticness_very_high|danceability_very_low,energy_very_low|loudness_very_low,"acousticness_very_high|danceability_very_low  →  energy_very_low|loudness_very_low (conf=0.72, lift=4.06)"
"frozenset({'duration_ms_very_low', 'energy_very_low'})","frozenset({'loudness_very_low', 'acousticness_very_high'})",0.0918314785754501,0.1506965823740102,0.0561817942236969,0.611792329767806,4.05976247191468,1.0,0.0423431042480245,2.187755376183077,0.829890216070588,0.3014913859604011,0.5429105050379649,0.4923031601144276,duration_ms_very_low|energy_very_low,acousticness_very_high|loudness_very_low,"duration_ms_very_low|energy_very_low  →  acousticness_very_high|loudness_very_low (conf=0.61, lift=4.06)"
